99
detection	body_part	cost
1	11	9.2102
2	3	0.17825
3	11	9.2102
4	9	0.29374
5	9	1.2152
6	11	9.2102
7	11	9.2102
8	9	-1.4966
9	3	-2.8596
10	3	-1.2384
11	3	-1.4603
12	9	-0.027912
13	11	9.2102
14	11	9.2102
15	11	9.2102
16	10	0.75894
17	11	9.2102
18	1	-4.4704
19	11	9.2102
20	4	-2.3079
21	4	-4.3236
22	1	-0.23833
23	11	9.2102
24	11	9.2102
25	12	-0.44908
26	12	1.1571
27	11	9.2102
28	12	-0.79417
29	12	-1.5346
30	11	9.2102
31	2	-2.5456
32	6	-2.1356
33	6	-2.4793
34	6	-1.0309
35	11	9.2102
36	12	0.21678
37	13	-0.88049
38	7	-1.0788
39	7	-2.1203
40	5	-1.6397
41	11	9.2102
42	5	-3.4922
43	11	9.2102
44	5	0.16693
45	8	-0.9565
46	5	0.64565
47	11	9.2102
48	11	9.2102
49	5	0.44615
50	4	-0.96999
51	5	-2.9481
52	4	-3.8825
53	5	-1.7263
54	5	-0.13421
55	3	-2.7719
56	4	-1.6964
57	5	1.0117
58	5	0.53181
59	11	9.2102
60	2	-3.9207
61	3	-4.1155
62	3	-0.72764
63	11	9.2102
64	9	0.21285
65	11	9.2102
66	3	-1.1273
67	11	9.2102
68	11	9.2102
69	11	9.2102
70	9	-1.5374
71	1	-0.29404
72	11	9.2102
73	9	0.65278
74	9	-0.58594
75	8	0.20415
76	11	9.2102
77	1	-4.8994
78	11	9.2102
79	11	9.2102
80	1	-0.072762
81	8	-4.5619
82	8	-4.6539
83	11	9.2102
84	11	9.2102
85	11	9.2102
86	12	0.5594
87	12	-0.96865
88	11	9.2102
89	12	-1.8677
90	12	-1.5303
91	11	9.2102
92	6	-4.6131
93	7	-5.1981
94	12	0.49099
95	6	-1.2276
96	7	-2.7301
97	7	-4.1227
98	12	0.5836
99	11	9.2102
detection1	detection2	cost
1	3	0.071429
4	5	-3.7143
1	6	19
3	6	11.4286
1	7	22.7857
3	7	15.2143
6	7	-3.7143
4	8	-4.8231
5	8	-4.8231
2	9	-3.2674
2	10	-1.8214
9	10	-4.8231
2	11	-1.5143
9	11	-5.6071
10	11	-5.6071
4	12	-1.8214
5	12	-0.67521
8	12	-3.2674
1	13	15.9133
